,lat,lng,block,street_name,postal
0,1.312763464,103.8835189,1,LOR 24 GEYLANG,398614
1,1.312390293,103.8815041,1,LOR 20 GEYLANG,398721
2,1.309134949,103.6794627,1,BENOI RD,629875
3,1.305466203,103.8956738,1,BOSCOMBE RD,439731
4,1.344618894,103.749789,1,BT BATOK ST 22,659592
5,1.314283056,103.7239129,1,BUROH LANE,618292
6,1.437424782,103.8296251,7,CANBERRA DR,768069
7,1.437018957,103.8287626,9,CANBERRA DR,768070
8,1.437220648,103.8289388,11,CANBERRA DR,768071
9,1.43761742,103.8292712,15,CANBERRA DR,768073
10,1.437873277,103.8294748,17,CANBERRA DR,768074
11,1.438095459,103.8296405,19,CANBERRA DR,768075
12,1.438472634,103.8298936,23,CANBERRA DR,768077
13,1.438241407,103.8300291,25,CANBERRA DR,768078
14,1.437691999,103.8302776,1,CANBERRA DR,768101
15,1.437605439,103.8300756,3,CANBERRA DR,768102
16,1.437511342,103.8298271,5,CANBERRA DR,768103
17,1.33675304,103.9637134,1,CHANGI BUSINESS PK AVE 1,486058
18,1.353462156,103.9684138,1,CHANGI NTH ST 1,498789
19,1.334177223,103.9519506,1,CHANGI STH LANE,486070
20,1.29955115,103.8200308,1,CHATSWORTH PK,249807
21,1.369782929,103.7720866,1,CHESTNUT CL,679443
22,1.367430549,103.7689255,1,CHESTNUT TER,679119
23,1.346227618,103.8634751,1,CLIFTON VALE,359661
24,1.38880269,103.840229,1,COUNTRYSIDE PL,789872
25,1.39127006,103.837257,1,COUNTRYSIDE RD,789767
26,1.347324331,103.8906871,1,DEFU AVE 1,539540
27,1.282431349,103.8050324,1,DEPOT CL,109841
28,1.320657645,103.9024634,1,EUNOS CRES,400001
29,1.282240861,103.8512866,1,FINLAYSON GREEN,49246
30,1.324111406,103.6927992,1,FIRST LOK YANG RD,629728
31,1.30684598,103.903312,1,FOWLIE RD,428471
32,1.328821385,103.8733143,1,GENTING LANE,349544
33,1.311514807,103.8347745,1,GOODWOOD HILL,258896
34,1.336699983,103.9539232,1,GUAN SOON AVE,489572
35,1.309889165,103.8810163,1,GUILLEMARD LANE,399870
36,1.309219378,103.7967324,1,HOLLAND CL,271001
37,1.307785095,103.857011,1,JLN BERSEH,209037
38,1.285168242,103.8101037,1,JLN KILANG,159402
39,1.346628174,103.8700699,1,JLN LATEH,359155
40,1.328948389,103.8832358,1,JLN MELATI,368888
41,1.322893569,103.669335,1,JOO KOON WAY,628942
42,1.312463758,103.8642684,1,KALLANG JUNCTION,339263
43,1.317658919,103.8670359,1,KALLANG PL,339211
44,1.326563302,103.8735345,1,KALLANG SECTOR,349276
45,1.296021602,103.8155641,1,KAY SIANG RD,248922
46,1.309995139,103.9288384,1,KEE SUN AVE,457023
47,1.278918321,103.841422,1,KEONG SAIK RD,89109
48,1.319781232,103.9511882,1,KEW CRES,466042
49,1.318830463,103.9519099,1,KEW DR,467993
50,1.32038399,103.9495488,1,KEW TER,466034
51,1.329805276,103.6959116,1,KIAN TECK DR,628818
52,1.307532135,103.9083073,1,KUO CHUAN AVE,426887
53,1.326880037,103.9134363,1,LENGKONG LIMA,417530
54,1.330323086,103.8008032,1,LINDEN DR,288682
55,1.339050699,103.8852707,1,LOR PAYA LEBAR,536299
56,1.299685156,103.8894409,1,MARGATE RD,438039
57,1.359674969,103.8726036,1,MARLENE AVE,556602
58,1.307582302,103.8589674,1,MAUDE RD,200001
59,1.31908637,103.8470536,1,MOULMEIN RISE,308143
60,1.34213681,103.8850129,1,NEW INDUSTRIAL RD,536196
61,1.301657268,103.7614222,1,PANDAN CRES,128461
62,1.320949256,103.7025847,1,PIONEER TURN,627576
63,1.333266934,103.8865332,1,PLAYFAIR RD,367981
64,1.307091122,103.895087,1,POOLE RD,437487
65,1.343484422,103.8833715,1,ROCHDALE RD,535814
66,1.386042499,103.8587938,1,SARACA DR,807505
67,1.329267027,103.8001367,1,SECOND AVE,266675
68,1.317506602,103.9380583,1,SENNETT LANE,466889
69,1.307996888,103.6956731,1,SHIPYARD RD,628128
70,1.405558696,103.8236366,1,SPRINGSIDE CRES,786162
71,1.403059092,103.8196361,1,SPRINGSIDE GREEN,786932
72,1.404415113,103.8218242,1,SPRINGSIDE PL,786404
73,1.406303697,103.8217676,1,SPRINGSIDE RD,786224
74,1.348484859,103.8853027,1,TAI KENG TER,535233
75,1.311282883,103.7994499,1,TAMAN WARNA,276337
76,1.328616109,103.6448468,1,TUAS AVE 10,639125
77,1.320811797,103.6643923,1,TUAS RD,638481
78,1.288268616,103.8485498,1,UPP CIRCULAR RD,58400
79,1.318842773,103.8036998,1,VICTORIA PK CL,266547
80,1.45614942,103.8012736,1,WOODLANDS AVE 8,738972
81,1.440321001,103.8405757,1,YISHUN AVE 7,768923
82,1.326447864,103.9498374,10,BEDOK CL,469879
83,1.314049435,103.799003,10,BELMONT RD,269908
84,1.268181745,103.8112204,10,BT CHERMIN RD,109918
85,1.354618893,103.7093813,10,BULIM AVE,648165
86,1.327275724,103.9248036,10,CHAI CHEE RD,467010
87,1.320199249,103.9696159,10,CHANGI COAST WALK,499739
88,1.331881104,103.9618107,10,CHANGI STH ST 2,486596
89,1.329281067,103.9656211,10,CHANGI STH ST 3,486147
90,1.316271816,103.7910905,10,CORONATION RD WEST,269242
91,1.390451216,103.8385546,10,COUNTRYSIDE RD,789776
92,1.38845619,103.8401434,10,COUNTRYSIDE VIEW,789726
93,1.305173776,103.8874114,10,CRANBORNE RD,439387
94,1.301008738,103.7801253,10,DOVER DR,138683
95,1.358084803,103.8687221,10,GRACE WALK,557733
96,1.310227558,103.6660628,10,GUL CRES,629523
97,1.340286459,103.9543786,10,HARVEY CRES,489372
98,1.312595724,103.848059,10,HERTFORD RD,219401
99,1.274402376,103.841695,10,HOE CHIANG RD,89315
100,1.358992512,103.8746777,10,HONG LEE PL,548853
101,1.33111144,103.883452,10,JLN BELANGKAS,369369
102,1.311534258,103.7985921,10,JLN KELABU ASAP,278206
103,1.315979726,103.760248,10,JLN LEMPENG,128797
104,1.322167124,103.9470649,10,JLN LIMAU BALI,468480
105,1.346279354,103.9616801,10,JLN PELATOK,488393
106,1.347035357,103.9603991,10,JLN SEGAM,488259
107,1.3584174,103.8787449,10,JANSEN CL,548480
108,1.279733932,103.8419398,10,JIAK CHUAN RD,89264
109,1.305288192,103.7652784,10,JUBILEE RD,128536
110,1.320067152,103.9495354,10,KEW WALK,466024
111,1.249168897,103.8401173,10,LAKESHORE VIEW,98152
112,1.324979076,103.6930479,10,LOK YANG WAY,628631
113,1.316021621,103.9286653,10,LOR ABU TALIB,456846
114,1.312795149,103.907341,10,LOR J TELOK KURAU,425796
115,1.319441924,103.9118524,10,LOR MYDIN,416808
116,1.360560484,103.8719623,10,MARLENE AVE,556622
117,1.344760992,103.8615753,10,MUSWELL HILL,358425
118,1.30555234,103.8635628,10,NTH BRIDGE RD,190010
119,1.330754734,103.7911914,10,OAK AVE,276768
120,1.426630948,103.7790121,10,OAKWOOD GROVE,738260
