name_of_centre,type_of_centre,postal,lat,lng,block,street_name
Adam Road Food Centre,HC,289876,1.324082714,103.8141821,2,ADAM ROAD
Amoy Street Food Centre,HC,69111,1.27923121,103.8466193,7,MAXWELL ROAD
Bedok Food Centre,HC,469572,1.320347168,103.9554806,1,BEDOK ROAD
Beo Crescent Market,MHC,169982,1.288830892,103.8273539,38A,BEO CRESCENT
Berseh Food Centre,HC,208877,1.307344109,103.8568888,166,JALAN BESAR
Bukit Timah Market,MHC,588215,1.339452429,103.7760073,51,UPPER BUKIT TIMAH ROAD
Chomp Chomp Food Centre,HC,557269,1.364232525,103.866527,20,KENSINGTON PARK ROAD
Commonwealth Crescent Market,MHC,149644,1.307074788,103.8004325,31,COMMONWEALTH CRESCENT
Dunman Food Centre,HC,424768,1.309417888,103.9018254,271,ONAN ROAD
East Coast Lagoon Food Village,HC,468960,1.306905736,103.9351379,1220,EAST COAST PARKWAY
Geylang Serai Market,MHC,402001,1.31672515,103.8979774,1,GEYLANG SERAI
Golden Mile Food Centre,MHC,199583,1.303141753,103.8638776,505,BEACH ROAD
Holland Village Market & Food Centre,MHC,277700,1.311072974,103.7948764,1,LORONG MAMBONG
Kallang Estate Market,MHC,397972,1.307343984,103.8840177,17,OLD AIRPORT ROAD
Market Street Food Centre,HC,51531,1.285323793,103.8457767,531A,UPPER CROSS STREET
Maxwell Food Centre,HC,69184,1.280331427,103.8447472,1,KADAYANALLUR STREET
Newton Food Centre,HC,229495,1.31191552,103.8395697,500,CLEMENCEAU AVENUE NORTH
North Bridge Road Market & Food Centre,MHC,198783,1.306140807,103.8640993,861,NORTH BRIDGE ROAD
Pasir Panjang Food Centre,HC,118543,1.275917974,103.7914109,121,PASIR PANJANG ROAD
Serangoon Garden Market,MHC,555945,1.363085011,103.8667249,49A,SERANGOON GARDEN WAY
Sembawang Hill Food Centre,HC,574419,1.372319493,103.8290181,590,UPPER THOMSON ROAD
Taman Jurong Market & Food Centre,MHC,618499,1.334682665,103.7216193,3,YUNG SHENG ROAD
Tanglin Halt Market,MHC,148813,1.300544075,103.797738,48A,TANGLIN HALT ROAD
Tiong Bahru Market,MHC,168898,1.284685992,103.8324216,30,SENG POH ROAD
Zion Riverside Food Centre,HC,247792,1.292342211,103.831189,70,ZION ROAD
ABC Brickworks Market & Food Centre,MHC,150006,1.286882973,103.8081313,6,JALAN BUKIT MERAH
Albert Centre Market & Food Centre,MHC,180270,1.301001496,103.8542117,270,QUEEN STREET
Alexandra Village Food Centre,HC,150120,1.286305943,103.8044926,120,BUKIT MERAH LANE 1
1 Jalan Kukoh,HC,161001,1.288231015,103.8399342,1,JALAN KUKOH
105 Hougang Ave 1,MHC,530105,1.354082739,103.8901304,105,HOUGANG AVENUE 1
