,lat,lng,building,postal
0,1.301060879,103.7813102,ACS INDEPENDENT BOARDING SCHOOL,139656
1,1.319923368,103.8349576,ACS OLDHAM HALL BOARDING SCHOOL,309937
2,1.307747108,103.7985415,ANGLO-CHINESE SCHOOL (INTERNATIONAL),278475
3,1.311591239,103.8485001,APS SWIM SCHOOL,218253
4,1.350033688,103.8591122,AUSTRALIAN INTERNATIONAL SCHOOL,556818
5,1.345093006,103.7274293,CANADIAN INTERNATIONAL SCHOOL (LAKESIDE CAMPUS),649414
6,1.344857131,103.7920823,CHATSWORTH INTERNATIONAL SCHOOL - BUKIT TIMAH CAMPUS,289760
7,1.305674198,103.7791524,DOVER COURT PREPARATORY SCHOOL,139644
8,1.281217721,103.8341447,DUKE-NUS GRADUATE MEDICAL SCHOOL SINGAPORE,169857
9,1.302885729,103.7877012,ESSEC BUSINESS SCHOOL,139408
10,1.305813918,103.889747,ETONHOUSE BRDRICK INTERNATIONAL SCHOOL & PRE-SCHOOL,439501
11,1.326189433,103.8010346,HWA CHONG INTERNATIONAL SCHOOL,269783
12,1.307051549,103.7662935,INTERNATIONAL COMMUNITY SCHOOL,128575
13,1.321619914,103.8488638,LEE KONG CHIAN SCHOOL OF MEDICINE (NOVENA CAMPUS),308232
14,1.344358646,103.6792673,NANYANG TECHNOLOGICAL UNIVERSITY (SCHOOL OF BIOLOGICAL SCIENCES),637551
15,1.331926359,103.8046337,NATIONAL JUNIOR COLLEGE BOARDING SCHOOL,288916
16,1.319833295,103.7758219,NEXUS INTERNATIONAL SCHOOL,596468
17,1.380394575,103.9413908,OVERSEAS FAMILY SCHOOL SINGAPORE,519292
18,1.279905078,103.8014221,S P JAIN SCHOOL OF GLOBAL MANAGEMENT,119579
19,1.321841399,103.8410428,SAN YU ADVENTIST SCHOOL,307652
20,1.425383072,103.7744213,SINGAPORE AMERICAN SCHOOL,738547
21,1.295670996,103.8499241,SINGAPORE MANAGEMENT UNIVERSITY (SCHOOL OF ACCOUNTANCY),178900
22,1.297377293,103.8495515,SINGAPORE MANAGEMENT UNIVERSITY (SCHOOL OF INFORMATION SYSTEMS),178902
23,1.295108414,103.8489225,SINGAPORE MANAGEMENT UNIVERSITY (SCHOOL OF LAW),179943
24,1.336974773,103.8697094,STAMFORD AMERICAN INTERNATIONAL SCHOOL,357684
25,1.296890791,103.7919886,TANGLIN TRUST SCHOOL,139299
26,1.346390219,103.9314293,TEMASEK POLYTECHNIC (14 SCHOOL OF ENGINEERING),529757
