,lat,lng,building,postal
0,1.301060879,103.7813102,ACS INDEPENDENT BOARDING SCHOOL,139656
1,1.319923368,103.8349576,ACS OLDHAM HALL BOARDING SCHOOL,309937
2,1.445890689,103.8023982,ADMIRALTY SECONDARY SCHOOL,737916
3,1.331181096,103.9418534,ANGLICAN HIGH SCHOOL,487012
4,1.303704093,103.7803634,ANGLO-CHINESE SCHOOL (INDEPENDENT),139650
5,1.307747108,103.7985415,ANGLO-CHINESE SCHOOL (INTERNATIONAL),278475
6,1.311591239,103.8485001,APS SWIM SCHOOL,218253
7,1.350033688,103.8591122,AUSTRALIAN INTERNATIONAL SCHOOL,556818
8,1.359726066,103.85469,AUTISM RESOURCE CENTRE (SINGAPORE) & PATHLIGHT SCHOOL,569739
9,1.372646492,103.8789596,AWWA SCHOOL,547531
10,1.339954156,103.8828062,BARTLEY SECONDARY SCHOOL,538403
11,1.383949345,103.7736319,BEACON PRIMARY SCHOOL,679944
12,1.334519473,103.9350284,BEDOK GREEN SECONDARY SCHOOL,469722
13,1.342722691,103.70189,BOON LAY SECONDARY SCHOOL,648354
14,1.370359944,103.8776596,BOWEN SECONDARY SCHOOL,547529
15,1.285784138,103.8130231,BUKIT MERAH SECONDARY SCHOOL,159050
16,1.285784138,103.8130231,BUKIT MERAH SECONDARY SCHOOL,159050
17,1.345733055,103.7522266,BUKIT VIEW SECONDARY SCHOOL,659633
18,1.345093006,103.7274293,CANADIAN INTERNATIONAL SCHOOL (LAKESIDE CAMPUS),649414
19,1.453224924,103.8141949,CANBERRA SECONDARY SCHOOL,757699
20,1.326858796,103.8810509,CANOSSIAN SCHOOL,387621
21,1.333758002,103.8739331,CEDAR GIRLS' SECONDARY SCHOOL,349692
22,1.344857131,103.7920823,CHATSWORTH INTERNATIONAL SCHOOL - BUKIT TIMAH CAMPUS,289760
23,1.350997799,103.7075937,CORPORATION PRIMARY SCHOOL,648347
24,1.343119805,103.7426281,CREST SECONDARY SCHOOL,609561
25,1.359179745,103.7484721,DAZHONG PRIMARY SCHOOL,659441
26,1.39470783,103.7432018,DE LA SALLE SCHOOL,689285
27,1.305674198,103.7791524,DOVER COURT PREPARATORY SCHOOL,139644
28,1.281217721,103.8341447,DUKE-NUS GRADUATE MEDICAL SCHOOL SINGAPORE,169857
29,1.360652586,103.9562133,DUNMAN SECONDARY SCHOOL,529093
30,1.4005931,103.9026874,EDGEFIELD SECONDARY SCHOOL,828814
31,1.302885729,103.7877012,ESSEC BUSINESS SCHOOL,139408
32,1.305813918,103.889747,ETONHOUSE BRDRICK INTERNATIONAL SCHOOL & PRE-SCHOOL,439501
33,1.444150643,103.7945812,EVERGREEN PRIMARY SCHOOL,738908
34,1.300540825,103.7854383,FAIRFIELD METHODIST SCHOOL (PRIMARY),139648
35,1.31236856,103.8507662,FARRER PARK PRIMARY SCHOOL,217567
36,1.39030228,103.8744455,FERNVALE PRIMARY SCHOOL,797701
37,1.385889219,103.7677945,GREENRIDGE PRIMARY SCHOOL,677744
38,1.345690115,103.8494532,GUANGYANG PRIMARY SCHOOL,579806
39,1.316676462,103.7842962,HENRY PARK PRIMARY SCHOOL,278790
40,1.326189433,103.8010346,HWA CHONG INTERNATIONAL SCHOOL,269783
41,1.307051549,103.7662935,INTERNATIONAL COMMUNITY SCHOOL,128575
42,1.37223291,103.8521322,JING SHAN PRIMARY SCHOOL,569228
43,1.339022647,103.6877696,JUYING PRIMARY SCHOOL,649037
44,1.338722773,103.6873103,JUYING SECONDARY SCHOOL,649038
45,1.337338194,103.8471485,KHENG CHENG SCHOOL,319580
46,1.390051099,103.7411907,KRANJI SECONDARY SCHOOL,689333
47,1.321619914,103.8488638,LEE KONG CHIAN SCHOOL OF MEDICINE (NOVENA CAMPUS),308232
48,1.354241911,103.7541658,LIANHUA PRIMARY SCHOOL,659243
49,1.368272662,103.8353607,MAYFLOWER SECONDARY SCHOOL,569384
50,1.332948009,103.783393,METHODIST GIRLS' SCHOOL,599986
51,1.339315039,103.705351,MY FIRST SKOOL,648331
52,1.344358646,103.6792673,NANYANG TECHNOLOGICAL UNIVERSITY (SCHOOL OF BIOLOGICAL SCIENCES),637551
53,1.331926359,103.8046337,NATIONAL JUNIOR COLLEGE BOARDING SCHOOL,288916
54,1.416306632,103.8387941,NAVAL BASE PRIMARY SCHOOL,769028
55,1.419378816,103.8310504,NAVAL BASE SECONDARY SCHOOL,768689
56,1.299641811,103.8001023,NEW TOWN PRIMARY SCHOOL,148812
57,1.319833295,103.7758219,NEXUS INTERNATIONAL SCHOOL,596468
58,1.420969899,103.8409284,NTHLAND PRIMARY SCHOOL,769026
59,1.306564424,103.7693651,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,129957
60,1.415320328,103.8378592,ORCHID PARK SECONDARY SCHOOL,768454
61,1.380394575,103.9413908,OVERSEAS FAMILY SCHOOL SINGAPORE,519292
62,1.377794512,103.8945069,PUNGGOL PRIMARY SCHOOL,538787
63,1.402057384,103.9092137,PUNGGOL SECONDARY SCHOOL,828870
64,1.405145826,103.9051564,PUNGGOL VIEW PRIMARY SCHOOL,828845
65,1.313251479,103.7567432,QIFA PRIMARY SCHOOL,128104
66,1.442035966,103.7883398,QIHUA PRIMARY SCHOOL,738525
67,1.293521268,103.813191,QUEENSTOWN SECONDARY SCHOOL,148800
68,1.297291611,103.809118,RAINBOW CENTRE -  MARGARET DR SCHOOL,149306
69,1.279905078,103.8014221,S P JAIN SCHOOL OF GLOBAL MANAGEMENT,119579
70,1.307678422,103.9167622,SAINT PATRICK'S SCHOOL,429102
71,1.321841399,103.8410428,SAN YU ADVENTIST SCHOOL,307652
72,1.299364804,103.8486874,SCHOOL OF THE ARTS (SOTA),227968
73,1.445073716,103.8210424,SEMBAWANG PRIMARY SCHOOL,757715
74,1.347653114,103.7215237,SHUQUN PRIMARY SCHOOL,649332
75,1.432409357,103.7860351,SI LING PRIMARY SCHOOL,739067
76,1.425383072,103.7744213,SINGAPORE AMERICAN SCHOOL,738547
77,1.295670996,103.8499241,SINGAPORE MANAGEMENT UNIVERSITY (SCHOOL OF ACCOUNTANCY),178900
78,1.297377293,103.8495515,SINGAPORE MANAGEMENT UNIVERSITY (SCHOOL OF INFORMATION SYSTEMS),178902
79,1.295108414,103.8489225,SINGAPORE MANAGEMENT UNIVERSITY (SCHOOL OF LAW),179943
80,1.426411406,103.7894448,SINGAPORE SPORTS SCHOOL,737913
81,1.424254747,103.8454825,SKOOL4KIDZ CAMPUS @ YISHUN,768866
82,1.336974773,103.8697094,STAMFORD AMERICAN INTERNATIONAL SCHOOL,357684
83,1.349260948,103.9442637,TAMPINES SECONDARY SCHOOL,529427
84,1.296890791,103.7919886,TANGLIN TRUST SCHOOL,139299
85,1.308212746,103.8958201,TANJONG KATONG GIRLS' SCHOOL,439272
86,1.331045854,103.910934,TELOK KURAU PRIMARY SCHOOL,479239
87,1.346390219,103.9314293,TEMASEK POLYTECHNIC (14 SCHOOL OF ENGINEERING),529757
88,1.360032637,103.853826,TOWNSVILLE PRIMARY SCHOOL,569730
89,1.308308039,103.9281975,VICTORIA SCHOOL,448879
90,1.389441459,103.7661957,WEST SPRING PRIMARY SCHOOL,679946
91,1.387822838,103.7601288,WEST SPRING SECONDARY SCHOOL,677737
92,1.355052085,103.8425524,WHITLEY SECONDARY SCHOOL,579747
93,1.436488947,103.8001485,WOODLANDS RING SECONDARY SCHOOL,738239
94,1.396766009,103.750986,YEW TEE PRIMARY SCHOOL,689100
95,1.377975977,103.842137,YIO CHU KANG SECONDARY SCHOOL,569868
96,1.432321567,103.8380942,YISHUN TOWN SECONDARY SCHOOL,768610
97,1.284211533,103.8259519,ZHANGDE PRIMARY SCHOOL,169485
98,1.379548875,103.7693135,ZHENGHUA PRIMARY SCHOOL,679002
99,1.388368704,103.7655216,ZHENGHUA SECONDARY SCHOOL,677741
100,1.348407208,103.8694305,ZHONGHUA SECONDARY SCHOOL,556123
